芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
音波 みのり,おとは みのり,11月29日,神奈川県横浜市,八雲学園高校,160㎝,みのり,娘役,星組,,
希世 みらの,きせ みらの,5月16日,大阪府吹田市,大阪成蹊女子高校,159㎝,やすこ、やっちゃん,娘役,雪組,2011年,双子の姉は笹良える
雛月 乙葉,ひなづき おとは,12月26日,大阪府羽曳野市,城星学園高校,161㎝,ひな、おとは,娘役,雪組,2015年,
春花 きらら,はるはな きらら,3月21日,千葉県茂原市,麹町学園女子高校,163㎝,きらら,娘役,花組,2014年,
愛水 せれ奈,あいみ せれな,4月19日,東京都品川区,東京女学館高校,162㎝,あいり,娘役,星組,2017年,
千寿 はる,せんじゅ はる,1月17日,千葉県印西市,県立我孫子高校,166.5㎝,かずな、かっぴぃ,男役,星組,2013年,
春咲 ころん,はるさき ころん,1月8日,東京都西東京市,大妻中学,158㎝,おしお、ころん,娘役,月組,2008年,
詩風 翠,うたかぜ すい,7月21日,徳島県板野郡,徳島県立徳島北高校,168㎝,ナウ,男役,雪組,2012年,
紫咲 大佳,しざき ひろか,5月17日,茨城県筑波郡,町立伊奈中学,168.5㎝,きやお、きゃお,男役,宙組,2008年,
央 雅光希,おうが みつき,10月16日,石川県白山市,石川県立工業高校,173㎝,タジィ,男役,雪組,2016年,
白渚 すず,しらなぎ すず,4月4日,東京都新宿区,大妻高校,160㎝,マミィ、PEKO,娘役,雪組,2014年,妹は桜音れい
輝良 まさと,きら まさと,7月3日,神奈川県横浜市,神奈川県立松陽高校,176㎝,ハマ、まさと,男役,花組,2012年,
琴城 まなか,ことしろ まなか,9月21日,兵庫県姫路市,賢明女子学院高校,159㎝,まなか,娘役,星組,2009年,
華那 みかり,かな みかり,2月27日,兵庫県宝塚市,兵庫県立宝塚高校,160㎝,みかり,娘役,月組,2012年,
篁 祐希,たかむら ゆうき,5月28日,神奈川県相模原市,相模女子大学高等部,170㎝,のんこ,男役,月組,2012年,
真吹 みのり,まさぶき みのり,1月9日,大阪府大阪市,北陸高校,170㎝,みのり、あいこ,男役,星組,2011年,
颯 舞音桜,そうま ねお,5月12日,神奈川県横浜市,横浜市立岡律中学,166.5㎝,ねお、まなみ,男役,宙組,2009年,
真月 咲,しんげつ さく,11月16日,新潟県上越市,上越教育大学附属中学校,168㎝,さく、まづき,男役,星組,2013年,
彩咲 めい,あやさき めい,3月25日,大阪府豊中市,梅花高校,161㎝,めい,娘役,花組,2012年,
